stop_id,stop_name,stop_lat,stop_lon,agency
10373,Edgewood Rd+Rhode Island Av,39.016083,-76.921356,WMATA
10376,Cherry Hill Rd+47 Av,39.016659,-76.932144,WMATA
12027,Greenbelt+Bay G,39.011189,-76.910378,WMATA
12158,Kenilworth Av+Good Luck Rd,38.972736,-76.914742,WMATA
12167,Greenbelt Rd+Rhode Island Av,38.998077,-76.926056,WMATA
12168,Greenbelt Rd+Rhode Island Av,38.998253,-76.926178,WMATA
13299,Cherry Hill Rd+College Park Market Place,39.015938,-76.930046,WMATA
13419,Campus Dr+Baltimore Av,38.987972,-76.934074,WMATA
13431,Adelphi Rd+Toledo Rd,38.970474,-76.948936,WMATA
13487,Greenbelt Rd+57 Av,38.998062,-76.915184,WMATA
13495,42 Av+Oglethorpe St,38.959572,-76.946495,WMATA
13497,East-West Hwy+42 Av,38.966087,-76.946449,WMATA
13567,Cherry Hill Rd+College Park Market Place,39.015881,-76.930183,WMATA
13568,Cherry Hill Rd+47 Av,39.016579,-76.932159,WMATA
13587,Northwest Dr+Toledo Ter,38.971497,-76.958916,WMATA
13595,Northwest Dr+Toledo Ter,38.971493,-76.95903,WMATA
13598,Queens Chapel Rd+#5805,38.959759,-76.956879,WMATA
14685,Kenilworth Av+Kennedy St,38.95499,-76.922943,WMATA
14686,Kenilworth Av+Jefferson St,38.95615,-76.922348,WMATA
14687,Kenilworth Av+Nicholson St,38.957935,-76.920685,WMATA
14835,Greenbelt+Bay D,39.011589,-76.910034,WMATA
14984,Riverdale Rd+54 Av,38.959267,-76.922234,WMATA
14994,Riverdale Rd+54 Av,38.959366,-76.922279,WMATA
14995,Riverdale Rd+Tanglewood Dr,38.960121,-76.92466,WMATA
14996,Riverdale Rd+Current Apt,38.960815,-76.926842,WMATA
14997,Riverdale Rd+Taylor Rd,38.961159,-76.929375,WMATA
15001,Queensbury Rd+44 Pl,38.963223,-76.940483,WMATA
15010,Belcrest Rd+#6505,38.967831,-76.953979,WMATA
15011,Belcrest Rd+Toledo Rd,38.969658,-76.953796,WMATA
15012,Adelphi Rd+Purdue St,38.98204,-76.954788,WMATA
15016,River Rd+American Physics Bldg,38.972126,-76.928574,WMATA
15031,Jefferson St+44 Av,38.955296,-76.940643,WMATA
15033,Baltimore Av+Gallatin St,38.953114,-76.940475,WMATA
15132,Greenbelt+Bay F,39.011375,-76.9104,WMATA
15137,Edmonston Rd+Bryn Mawr Rd,38.983612,-76.910095,WMATA
15165,Kenilworth Av+Fountain Park Apt,38.950287,-76.926971,WMATA
15166,Kenilworth Av+East-West Hw,38.95985,-76.919762,WMATA
15167,Kenilworth Av+Rittenhouse St,38.963398,-76.918854,WMATA
15168,Edmonston Rd+Radcliffe Dr,38.976151,-76.913612,WMATA
15169,Edmonston Rd+Knoxville Dr,38.979942,-76.912941,WMATA
15170,Edmonston Rd+Wellesley Dr,38.981396,-76.911736,WMATA
