UMPD Case Number,Address
2022-00024735,3400 block of Tulane Dr
2022-00024736,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00024787,Adelphi Rd
2022-00024932,Baltimore Ave
2022-00024941,Baltimore Ave
2022-00025054,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
2022-00025084,"Alpha Epsilon Pi, Frat 4 at 4 Fraternity Row"
2022-00025185,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00025244,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2022-00025416,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00025476,McDonald's at 8301 Baltimore Ave
2022-00025715,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2022-00025756,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2022-00025855,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00025880,948 at 4600 River Rd
2022-00025885,La Plata Hall at 8160 La Plata Dr
2022-00026037,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2022-00026124,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00026180,Lot 16f
2022-00026283,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00026320,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00026352,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2022-00026367,9300 block of Cherry Hill Rd
2022-00026509,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00026521,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00026621,"35, McKeldin Library at 7649 Library Ln"
2022-00026629,7000 block of Preinkert Dr
2022-00026630,Cumberland Hall at 4250 Farm Dr
2022-00026650,Baltimore Ave
2022-00026679,"Capital One Field, Football Stadium, SECU Stadium"
2022-00026756,Lot 5
2022-00026936,Baltimore Ave
2022-00026966,"24, Allegany, Allegany Hall at 4299 Lehigh Rd"
2022-00026986,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2022-00027157,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr"
2022-00027171,McKeldin Mall
2022-00027196,Geology Building at 8000 Regents Dr
2022-00027219,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11 Fraternity Row"
2022-00027227,8100 block of La Plata Dr
2022-00027229,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535 College Ave"
2022-00027244,Baltimore Ave
2022-00027384,"26, South Campus Dining Hall at 7093 Preinkert Dr"
